Character,Playstyle,Version
Albedo,afk,3.7
Albedo,support,3.7
Albedo,burgeon,3.7
Albedo,afk,3.7
Albedo,mono geo,3.7
Albedo,,3.7
Albedo,mono geo,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,burgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,burgeon,3.7
Alhaitham,burgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,burning,3.7
Alhaitham,dps,3.7
Alhaitham,quicken,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,dps,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,bloom,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,quicken,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,quickswap,3.7
Alhaitham,dps,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,burgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperburgeon,3.7
Alhaitham,,3.7
Alhaitham,national,3.7
Alhaitham,burgeon,3.7
Alhaitham,dps,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperburgeon,3.7
Alhaitham,quicken,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,burgeon,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,sunfire burgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,national,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,hyperburgeon,3.7
Alhaitham,hyperburgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,burgeon,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,,3.7
Alhaitham,,3.7
Alhaitham,burgeon,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,educational,3.7
Alhaitham,spread,3.7
Alhaitham,hyperburgeon,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,,3.7
Alhaitham,quicken,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,burgeon,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,national,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,burgeon,3.7
Alhaitham,quickbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quicken,3.7
Alhaitham,spread,3.7
Alhaitham,national,3.7
Alhaitham,vaporize,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,,3.7
Alhaitham,spread,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,spread,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,solo,3.7
Alhaitham,quickbloom,3.7
Alhaitham,national,3.7
Alhaitham,,3.7
Alhaitham,hyperbloom,3.7
Alhaitham,quickbloom,3.7
Alhaitham,spread,3.7
Alhaitham,spread,3.7
Alhaitham,spreadburn,3.7
Alhaitham,,3.7
Aloy,freeze,3.7
Aloy,freeze,3.7
Aloy,,3.7
Aloy,mono cryo,3.7
Aloy,melt,3.7
Amber,bunny,3.7
Amber,,3.7
Amber,melt,3.7
Amber,solo,3.7
Amber,bunny,3.7
Amber,,3.7
Amber,burgeon,3.7
Amber,,3.7
Amber,hypercarry,3.7
Amber,solo,3.7
Amber,melt,3.7
Amber,solo,3.7
Amber,solo,3.7
Amber,solo,3.7
Amber,,3.7
Amber,mono pyro,3.7
Amber,melt,3.7
Amber,vaporize,3.7
Amber,weakspot,3.7
Amber,,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hyperfridge,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,hyperfridge,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,morgana,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,double pyro,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burgeon,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,national,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,hypercarry,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,double pyro,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,soup,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,burn melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,fro-mel-vaporize,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,mono cryo,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,melt,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayaka,freeze,3.7
Kamisato Ayaka,,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,electrocharged,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,electrocharged,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hyperburgeon,3.7
Kamisato Ayato,sunfire burgeon,3.7
Kamisato Ayato,hypercarry,3.7
Kamisato Ayato,bloom,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,hyperburgeon,3.7
Kamisato Ayato,electrocharged,3.7
Kamisato Ayato,soup,3.7
Kamisato Ayato,soup,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hypercarry,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,sunfire,3.7
Kamisato Ayato,hyperburgeon,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,bloom,3.7
Kamisato Ayato,overvape,3.7
Kamisato Ayato,electrocharged,3.7
Kamisato Ayato,sunfire vaporize,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,mono hydro,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,bloom,3.7
Kamisato Ayato,burn vaporize,3.7
Kamisato Ayato,freeze,3.7
Kamisato Ayato,national,3.7
Kamisato Ayato,hypercarry,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,fridge,3.7
Kamisato Ayato,dps,3.7
Kamisato Ayato,bloom,3.7
Kamisato Ayato,burgeon national,3.7
Kamisato Ayato,freeze,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,salad,3.7
Kamisato Ayato,electrocharged,3.7
Kamisato Ayato,freeze,3.7
Kamisato Ayato,sunfire burgeon,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,burgeon,3.7
Kamisato Ayato,hypercarry,3.7
Kamisato Ayato,hyperbloom,3.7
Kamisato Ayato,vaporize,3.7
Kamisato Ayato,,3.7
Kamisato Ayato,sunfire burgeon,3.7
Kamisato Ayato,bloom,3.7
